month,product_line,channel,region,policy_count,gross_written_premium,renewal_count,renewal_premium,average_ticket_size,notes
2023-01,Health (Retail),PoSP,West,181,5414962.52,121,3625095.87,29916.92,
2023-01,Home,Agent,East,91,287682.85,80,254323.2,3161.35,
2023-01,Home,Agent,North,180,1332851.4,131,989944.73,7404.73,
2023-01,Home,Agent,South,141,914557.02,96,624239.04,6486.22,
2023-01,Home,Agent,West,120,1071870.0,87,768757.23,8932.25,
2023-01,Home,Bancassurance,East,55,437355.6,38,299107.5,7951.92,
2023-01,Home,Bancassurance,North,104,474891.04,81,382608.36,4566.26,
2023-01,Home,Bancassurance,South,99,730658.61,81,622295.46,7380.39,
2023-01,Home,Bancassurance,West,88,564593.04,63,391732.11,6415.83,
2023-01,Home,Broker,East,50,305256.0,36,214150.68,6105.12,
2023-01,Home,Broker,North,102,743305.62,81,569651.94,7287.31,
2023-01,Home,Broker,South,81,676328.13,49,400629.39,8349.73,
2023-01,Home,Broker,West,72,465344.64,55,364817.2,6463.12,
2023-01,Home,Direct/Online,East,56,117755.68,42,87188.64,2102.78,
2023-01,Home,Direct/Online,North,106,578652.94,74,417780.32,5458.99,
2023-01,Home,Direct/Online,South,108,428142.24,76,295678.0,3964.28,
2023-01,Home,Direct/Online,West,100,620588.0,57,369951.66,6205.88,
2023-01,Home,PoSP,East,32,170961.28,26,141971.7,5342.54,
2023-01,Home,PoSP,North,51,433103.22,38,325882.3,8492.22,
2023-01,Home,PoSP,South,48,189415.2,38,157178.64,3946.15,
2023-01,Home,PoSP,West,39,291487.56,33,252375.75,7474.04,
2023-01,Motor (Car),Agent,East,501,12248282.67,344,8384394.56,24447.67,
2023-01,Motor (Car),Agent,North,760,10660474.4,637,9183902.91,14026.94,
2023-01,Motor (Car),Agent,South,700,11153982.0,471,7642413.03,15934.26,
2023-01,Motor (Car),Agent,West,692,7064399.64,494,5128722.82,10208.67,
2023-01,Motor (Car),Bancassurance,East,308,4603056.92,238,3399799.06,14944.99,
2023-01,Motor (Car),Bancassurance,North,482,7716164.48,362,5873200.22,16008.64,
2023-01,Motor (Car),Bancassurance,South,498,8718246.96,348,6053714.04,17506.52,
2023-01,Motor (Car),Bancassurance,West,442,5742061.78,338,4515646.2,12991.09,
2023-01,Motor (Car),Broker,East,274,2226293.84,228,1890544.08,8125.16,
2023-01,Motor (Car),Broker,North,486,10767587.58,394,9019317.98,22155.53,
2023-01,Motor (Car),Broker,South,438,6389162.94,323,4541906.49,14587.13,
2023-01,Motor (Car),Broker,West,376,5941390.32,283,4299469.01,15801.57,
2023-01,Motor (Car),Direct/Online,East,339,8052945.0,279,6590141.82,23755.0,
2023-01,Motor (Car),Direct/Online,North,576,8905495.68,496,7357411.04,15460.93,
2023-01,Motor (Car),Direct/Online,South,479,10029958.23,386,8042495.28,20939.37,
2023-01,Motor (Car),Direct/Online,West,442,7703149.48,306,5403164.4,17427.94,
2023-01,Motor (Car),PoSP,East,150,2975617.5,110,2138807.0,19837.45,
2023-01,Motor (Car),PoSP,North,268,3995499.44,211,2995569.11,14908.58,
2023-01,Motor (Car),PoSP,South,233,4725265.63,169,3427696.87,20280.11,
2023-01,Motor (Car),PoSP,West,213,3014122.53,133,1968989.19,14150.81,
2023-01,Motor (Two-Wheeler),Agent,East,740,2479177.6,528,1785009.6,3350.24,
2023-01,Motor (Two-Wheeler),Agent,North,1521,4258328.49,1023,2732801.28,2799.69,
2023-01,Motor (Two-Wheeler),Agent,South,1398,3019288.56,1019,2220044.35,2159.72,
2023-01,Motor (Two-Wheeler),Agent,West,1122,3834008.64,851,2786625.03,3417.12,
2023-01,Motor (Two-Wheeler),Bancassurance,East,531,1343488.41,360,880290.0,2530.11,
2023-01,Motor (Two-Wheeler),Bancassurance,North,975,3248719.5,646,2164293.8,3332.02,
2023-01,Motor (Two-Wheeler),Bancassurance,South,978,3090069.24,758,2503431.44,3159.58,
2023-01,Motor (Two-Wheeler),Bancassurance,West,736,1744459.84,630,1530339.3,2370.19,
2023-01,Motor (Two-Wheeler),Broker,East,500,1646160.0,321,1015467.45,3292.32,
2023-01,Motor (Two-Wheeler),Broker,North,936,2322599.76,745,1843748.35,2481.41,
2023-01,Motor (Two-Wheeler),Broker,South,780,1687249.2,570,1174006.2,2163.14,
2023-01,Motor (Two-Wheeler),Broker,West,661,1363292.67,563,1192366.44,2062.47,
2023-01,Motor (Two-Wheeler),Direct/Online,East,602,1146647.46,433,798088.28,1904.73,
2023-01,Motor (Two-Wheeler),Direct/Online,North,1031,2989291.71,772,2300737.56,2899.41,
2023-01,Motor (Two-Wheeler),Direct/Online,South,985,2362739.2,661,1649386.69,2398.72,
2023-01,Motor (Two-Wheeler),Direct/Online,West,751,2265797.04,603,1842436.35,3017.04,
2023-01,Motor (Two-Wheeler),PoSP,East,236,467737.84,173,330987.06,1981.94,
2023-01,Motor (Two-Wheeler),PoSP,North,461,1515256.29,370,1249231.0,3286.89,
2023-01,Motor (Two-Wheeler),PoSP,South,413,928143.16,297,651600.18,2247.32,
2023-01,Motor (Two-Wheeler),PoSP,West,370,998544.9,327,865758.66,2698.77,
2023-01,SME/Commercial,Agent,East,41,4707753.25,34,3800353.4,114823.25,
2023-01,SME/Commercial,Agent,North,74,10347770.02,62,8559389.54,139834.73,
2023-01,SME/Commercial,Agent,South,75,2231483.25,55,1681213.05,29753.11,
2023-01,SME/Commercial,Agent,West,71,9290131.32,47,6258833.49,130846.92,
2023-01,SME/Commercial,Bancassurance,East,30,521558.7,22,376482.7,17385.29,
2023-01,SME/Commercial,Bancassurance,North,50,1673543.5,35,1158871.7,33470.87,
2023-01,SME/Commercial,Bancassurance,South,47,3857935.78,34,2670049.92,82083.74,
2023-01,SME/Commercial,Bancassurance,West,42,6068716.5,32,4524160.32,144493.25,
2023-01,SME/Commercial,Broker,East,26,1354635.88,20,998763.8,52101.38,
2023-01,SME/Commercial,Broker,North,48,3320784.0,43,2896825.72,69183.0,
2023-01,SME/Commercial,Broker,South,36,2231432.64,29,1813778.32,61984.24,
2023-01,SME/Commercial,Broker,West,40,4475251.2,36,3945706.2,111881.28,
2023-01,SME/Commercial,Direct/Online,East,29,3478298.28,23,2748987.83,119941.32,
2023-01,SME/Commercial,Direct/Online,North,52,4662788.52,44,4136623.48,89669.01,
2023-01,SME/Commercial,Direct/Online,South,54,6159062.88,42,4610201.4,114056.72,
2023-01,SME/Commercial,Direct/Online,West,41,2893073.16,35,2483393.85,70562.76,
2023-01,SME/Commercial,PoSP,East,15,539769.15,13,470676.44,35984.61,
2023-01,SME/Commercial,PoSP,North,26,1215190.86,19,890647.42,46738.11,
2023-01,SME/Commercial,PoSP,South,20,1895011.0,15,1384500.6,94750.55,
2023-01,SME/Commercial,PoSP,West,22,2657957.5,17,2155481.85,120816.25,
2023-01,Travel,Agent,East,319,753787.43,237,540715.5,2362.97,
2023-01,Travel,Agent,North,508,1332748.16,349,954776.75,2623.52,
2023-01,Travel,Agent,South,537,1205726.1,438,946553.04,2245.3,
2023-01,Travel,Agent,West,424,416622.4,311,320261.58,982.6,
2023-01,Travel,Bancassurance,East,219,456958.83,154,312258.1,2086.57,
2023-01,Travel,Bancassurance,North,407,354537.7,311,270212.35,871.1,
2023-01,Travel,Bancassurance,South,404,337436.96,300,248766.0,835.24,
2023-01,Travel,Bancassurance,West,269,347709.4,174,224331.24,1292.6,
2023-01,Travel,Broker,East,184,452676.8,145,344069.05,2460.2,
2023-01,Travel,Broker,North,307,195328.75,243,160547.67,636.25,
2023-01,Travel,Broker,South,277,258391.14,180,175968.0,932.82,
2023-01,Travel,Broker,West,310,388541.6,250,318015.0,1253.36,
2023-01,Travel,Direct/Online,East,233,568967.36,158,391852.64,2441.92,
2023-01,Travel,Direct/Online,North,349,941602.0,252,653136.12,2698.0,
2023-01,Travel,Direct/Online,South,392,284631.2,334,236231.52,726.1,
2023-01,Travel,Direct/Online,West,340,174613.8,202,106868.1,513.57,
2023-01,Travel,PoSP,East,107,149975.48,86,125198.8,1401.64,
2023-01,Travel,PoSP,North,204,393952.56,153,299835.63,1931.14,
2023-01,Travel,PoSP,South,179,231006.66,152,194816.88,1290.54,
2023-01,Travel,PoSP,West,164,288489.12,119,205446.36,1759.08,
2023-02,Crop,Agent,East,18,197695.44,12,135115.32,10983.08,
2023-02,Crop,Agent,North,29,121873.95,22,94748.94,4202.55,
2023-02,Crop,Agent,South,31,330300.66,24,252157.44,10654.86,
2023-02,Crop,Agent,West,30,229880.4,21,157745.7,7662.68,
2023-02,Crop,Bancassurance,East,12,160207.8,9,120840.75,13350.65,
2023-02,Crop,Bancassurance,North,19,92397.76,14,70450.66,4863.04,
2023-02,Crop,Bancassurance,South,19,340060.29,16,283550.4,17897.91,
2023-02,Crop,Bancassurance,West,18,106305.66,12,74054.64,5905.87,
2023-02,Crop,Broker,East,11,181593.94,9,141382.89,16508.54,
2023-02,Crop,Broker,North,16,112558.56,12,84401.52,7034.91,
2023-02,Crop,Broker,South,17,302600.17,12,221925.84,17800.01,
2023-02,Crop,Broker,West,14,160169.52,10,115003.6,11440.68,
2023-02,Crop,Direct/Online,East,14,211230.74,10,150553.3,15087.91,
2023-02,Crop,Direct/Online,North,20,365386.2,16,305639.68,18269.31,
2023-02,Crop,Direct/Online,South,21,134004.36,15,99381.75,6381.16,
2023-02,Crop,Direct/Online,West,20,153466.8,14,107966.46,7673.34,
2023-02,Crop,PoSP,East,6,42133.62,4,27427.84,7022.27,
2023-02,Crop,PoSP,North,10,172363.0,8,133415.36,17236.3,
2023-02,Crop,PoSP,South,10,75246.5,8,61266.96,7524.65,
2023-02,Crop,PoSP,West,9,93479.94,6,64014.12,10386.66,
2023-02,Health (Group),Agent,East,73,3814527.4,56,3014405.52,52253.8,
2023-02,Health (Group),Agent,North,140,12428197.6,106,9339136.36,88772.84,
2023-02,Health (Group),Agent,South,132,9097714.56,98,6978689.76,68922.08,
2023-02,Health (Group),Agent,West,104,8665164.56,71,5676705.6,83318.89,
2023-02,Health (Group),Bancassurance,East,50,1825834.0,41,1570604.22,36516.68,
2023-02,Health (Group),Bancassurance,North,91,5274427.34,79,4518412.9,57960.74,
2023-02,Health (Group),Bancassurance,South,73,2822971.32,60,2224188.0,38670.84,
2023-02,Health (Group),Bancassurance,West,77,5212977.0,57,4003700.52,67701.0,
2023-02,Health (Group),Broker,East,46,1594325.04,36,1252591.56,34659.24,
2023-02,Health (Group),Broker,North,80,4791603.2,54,3072783.6,59895.04,
2023-02,Health (Group),Broker,South,72,5443000.56,47,3667879.06,75597.23,
2023-02,Health (Group),Broker,West,65,2023497.45,50,1518783.0,31130.73,
2023-02,Health (Group),Direct/Online,East,60,3161949.6,46,2469290.12,52699.16,
2023-02,Health (Group),Direct/Online,North,97,8637261.21,64,5864497.92,89043.93,
2023-02,Health (Group),Direct/Online,South,94,7781820.08,68,5816595.56,82785.32,
2023-02,Health (Group),Direct/Online,West,85,7630931.95,72,6202190.88,89775.67,
2023-02,Health (Group),PoSP,East,29,777636.45,18,482004.36,26815.05,
2023-02,Health (Group),PoSP,North,50,4100170.5,32,2665064.64,82003.41,
2023-02,Health (Group),PoSP,South,42,3065803.44,31,2337200.36,72995.32,
2023-02,Health (Group),PoSP,West,38,1990576.04,28,1475720.12,52383.58,
2023-02,Health (Retail),Agent,East,405,5060637.0,311,3994160.56,12495.4,
2023-02,Health (Retail),Agent,North,685,14874624.3,514,11058884.76,21714.78,
2023-02,Health (Retail),Agent,South,661,9876873.52,457,6934837.9,14942.32,
2023-02,Health (Retail),Agent,West,500,8865755.0,393,6811798.26,17731.51,
2023-02,Health (Retail),Bancassurance,East,240,8306793.6,190,6748896.9,34611.64,
2023-02,Health (Retail),Bancassurance,North,480,15237710.4,360,11416654.8,31745.23,
2023-02,Health (Retail),Bancassurance,South,427,8432823.0,290,5969971.9,19749.0,
2023-02,Health (Retail),Bancassurance,West,444,10021990.2,312,6894108.0,22572.05,
2023-02,Health (Retail),Broker,East,231,4489418.01,197,3899630.76,19434.71,
2023-02,Health (Retail),Broker,North,399,7414062.39,318,5733174.3,18581.61,
2023-02,Health (Retail),Broker,South,398,11233187.82,298,8204804.2,28224.09,
2023-02,Health (Retail),Broker,West,352,7487328.64,305,6451231.9,21270.82,
2023-02,Health (Retail),Direct/Online,East,280,7635286.4,214,5757539.46,27268.88,
2023-02,Health (Retail),Direct/Online,North,454,10418805.14,352,7817286.4,22948.91,
2023-02,Health (Retail),Direct/Online,South,495,15622774.2,303,9938369.7,31561.16,
2023-02,Health (Retail),Direct/Online,West,459,9795913.74,363,7754017.59,21341.86,
2023-02,Health (Retail),PoSP,East,142,2162840.34,108,1626892.56,15231.27,
2023-02,Health (Retail),PoSP,North,230,5878919.6,181,4772676.78,25560.52,
2023-02,Health (Retail),PoSP,South,229,3643161.0,141,2309905.71,15909.0,
2023-02,Health (Retail),PoSP,West,169,2785691.22,123,2051717.49,16483.38,
2023-02,Home,Agent,East,86,765749.16,70,615180.3,8904.06,
2023-02,Home,Agent,North,164,1438885.16,127,1124762.8,8773.69,
2023-02,Home,Agent,South,145,672275.1,100,462792.0,4636.38,
2023-02,Home,Agent,West,126,357594.3,98,272132.28,2838.05,
2023-02,Home,Bancassurance,East,54,471931.38,34,291251.48,8739.47,
2023-02,Home,Bancassurance,North,107,946928.6,74,679208.26,8849.8,
2023-02,Home,Bancassurance,South,95,476858.2,71,357622.03,5019.56,
2023-02,Home,Bancassurance,West,86,199810.68,67,149712.17,2323.38,
2023-02,Home,Broker,East,54,283457.88,38,192281.9,5249.22,
2023-02,Home,Broker,North,97,790251.24,65,527626.45,8146.92,
2023-02,Home,Broker,South,94,296478.82,74,236168.78,3154.03,
2023-02,Home,Broker,West,82,362720.44,57,249739.23,4423.42,
2023-02,Home,Direct/Online,East,66,285723.24,60,261438.6,4329.14,
2023-02,Home,Direct/Online,North,115,261880.3,92,199584.8,2277.22,
2023-02,Home,Direct/Online,South,116,926966.44,90,683631.9,7991.09,
2023-02,Home,Direct/Online,West,97,304031.95,70,220205.3,3134.35,
2023-02,Home,PoSP,East,31,103429.33,21,67222.47,3336.43,
2023-02,Home,PoSP,North,55,432774.65,37,303243.12,7868.63,
2023-02,Home,PoSP,South,47,225425.16,36,180759.96,4796.28,
2023-02,Home,PoSP,West,47,327950.96,40,288656.8,6977.68,
2023-02,Motor (Car),Agent,East,421,7114500.05,298,5232143.94,16899.05,
2023-02,Motor (Car),Agent,North,715,10569895.05,598,8899447.96,14783.07,
2023-02,Motor (Car),Agent,South,715,17731292.15,530,12502689.4,24799.01,
2023-02,Motor (Car),Agent,West,626,12312211.82,401,7633287.63,19668.07,
2023-02,Motor (Car),Bancassurance,East,314,7529635.22,244,5779205.88,23979.73,
2023-02,Motor (Car),Bancassurance,North,506,12512120.06,399,10248666.12,24727.51,
2023-02,Motor (Car),Bancassurance,South,488,6572969.6,393,5245300.26,13469.2,
2023-02,Motor (Car),Bancassurance,West,440,4515425.2,307,3099963.2,10262.33,
2023-02,Motor (Car),Broker,East,215,4596719.35,155,3447787.45,21380.09,
2023-02,Motor (Car),Broker,North,513,11633147.1,402,9088504.44,22676.7,
2023-02,Motor (Car),Broker,South,378,8696755.62,273,6432810.93,23007.29,
2023-02,Motor (Car),Broker,West,368,7962879.68,264,5851657.68,21638.26,
2023-02,Motor (Car),Direct/Online,East,297,3876868.71,212,2633985.52,13053.43,
2023-02,Motor (Car),Direct/Online,North,571,14254386.9,438,11368605.36,24963.9,
2023-02,Motor (Car),Direct/Online,South,538,9238234.72,413,6773043.06,17171.44,
2023-02,Motor (Car),Direct/Online,West,512,6129064.96,423,5119750.89,11970.83,
2023-02,Motor (Car),PoSP,East,147,1293107.55,114,1018113.48,8796.65,
2023-02,Motor (Car),PoSP,North,272,3313202.08,182,2301395.46,12180.89,
2023-02,Motor (Car),PoSP,South,231,2650246.83,156,1784123.64,11472.93,
2023-02,Motor (Car),PoSP,West,188,1863854.56,130,1322964.5,9914.12,
2023-02,Motor (Two-Wheeler),Agent,East,721,1344715.47,543,986935.08,1865.07,
2023-02,Motor (Two-Wheeler),Agent,North,1227,2843290.29,977,2197595.41,2317.27,
2023-02,Motor (Two-Wheeler),Agent,South,1228,2145328.28,953,1625694.11,1747.01,
2023-02,Motor (Two-Wheeler),Agent,West,1225,3936108.75,962,3100583.72,3213.15,
2023-02,Motor (Two-Wheeler),Bancassurance,East,536,1604248.0,408,1272515.28,2993.0,
2023-02,Motor (Two-Wheeler),Bancassurance,North,982,1712215.2,855,1506894.75,1743.6,
2023-02,Motor (Two-Wheeler),Bancassurance,South,932,2151466.08,717,1736021.91,2308.44,
2023-02,Motor (Two-Wheeler),Bancassurance,West,705,1131842.25,494,802824.1,1605.45,
2023-02,Motor (Two-Wheeler),Broker,East,462,817407.36,319,563385.9,1769.28,
2023-02,Motor (Two-Wheeler),Broker,North,907,1810471.77,592,1227547.52,1996.11,
2023-02,Motor (Two-Wheeler),Broker,South,742,1887366.04,550,1404106.0,2543.62,
2023-02,Motor (Two-Wheeler),Broker,West,770,1411517.8,552,986920.8,1833.14,
2023-02,Motor (Two-Wheeler),Direct/Online,East,510,1398654.6,379,1013745.41,2742.46,
2023-02,Motor (Two-Wheeler),Direct/Online,North,1019,3377067.9,815,2823347.45,3314.1,
2023-02,Motor (Two-Wheeler),Direct/Online,South,880,1567632.0,612,1046281.32,1781.4,
2023-02,Motor (Two-Wheeler),Direct/Online,West,833,2677553.55,611,1923910.69,3214.35,
2023-02,Motor (Two-Wheeler),PoSP,East,279,492105.78,189,329791.77,1763.82,
2023-02,Motor (Two-Wheeler),PoSP,North,462,1430989.56,322,991170.74,3097.38,
2023-02,Motor (Two-Wheeler),PoSP,South,428,646083.12,359,518191.37,1509.54,
2023-02,Motor (Two-Wheeler),PoSP,West,401,860269.31,337,734531.94,2145.31,
2023-02,SME/Commercial,Agent,East,42,1742038.62,32,1332207.36,41477.11,
2023-02,SME/Commercial,Agent,North,80,3434059.2,70,3009535.9,42925.74,
2023-02,SME/Commercial,Agent,South,75,11055150.0,51,7257097.02,147402.0,
2023-02,SME/Commercial,Agent,West,64,2712985.6,58,2548171.42,42390.4,
2023-02,SME/Commercial,Bancassurance,East,32,3245059.52,24,2426251.2,101408.11,
2023-02,SME/Commercial,Bancassurance,North,46,3929224.32,34,3047914.02,85417.92,
2023-02,SME/Commercial,Bancassurance,South,44,3510457.72,33,2657317.41,79783.13,
2023-02,SME/Commercial,Bancassurance,West,42,3337321.68,29,2338487.79,79460.04,
2023-02,SME/Commercial,Broker,East,29,3002042.01,24,2417031.84,103518.69,
2023-02,SME/Commercial,Broker,North,51,3170642.97,38,2347755.14,62169.47,
2023-02,SME/Commercial,Broker,South,46,3049253.98,37,2374864.61,66288.13,
2023-02,SME/Commercial,Broker,West,41,1554785.6,33,1202271.51,37921.6,
2023-02,SME/Commercial,Direct/Online,East,32,2048793.28,25,1532983.25,64024.79,
2023-02,SME/Commercial,Direct/Online,North,51,1644314.97,42,1360031.82,32241.47,
2023-02,SME/Commercial,Direct/Online,South,55,8066966.6,37,5403209.53,146672.12,
2023-02,SME/Commercial,Direct/Online,West,49,3697838.41,44,3166162.56,75466.09,
2023-02,SME/Commercial,PoSP,East,15,1875669.45,11,1369949.02,125044.63,
2023-02,SME/Commercial,PoSP,North,25,1826031.75,22,1627968.98,73041.27,
2023-02,SME/Commercial,PoSP,South,27,2829152.07,20,2068615.8,104783.41,
2023-02,SME/Commercial,PoSP,West,19,2203638.43,14,1644326.6,115980.97,
2023-02,Travel,Agent,East,286,399825.14,210,284928.0,1397.99,
2023-02,Travel,Agent,North,503,522425.86,315,324639.0,1038.62,
2023-02,Travel,Agent,South,517,434005.99,411,340217.58,839.47,
2023-02,Travel,Agent,West,443,1255200.63,276,751939.92,2833.41,
2023-02,Travel,Bancassurance,East,205,579360.75,170,472243.0,2826.15,
2023-02,Travel,Bancassurance,North,341,280581.62,251,198335.18,822.82,
2023-02,Travel,Bancassurance,South,367,726582.93,258,507287.34,1979.79,
2023-02,Travel,Bancassurance,West,321,618284.52,242,468657.2,1926.12,
2023-02,Travel,Broker,East,176,342937.76,139,283806.03,1948.51,
2023-02,Travel,Broker,North,273,220463.88,223,185845.97,807.56,
2023-02,Travel,Broker,South,311,933463.39,210,619214.4,3001.49,
2023-02,Travel,Broker,West,248,431485.28,210,361626.3,1739.86,
2023-02,Travel,Direct/Online,East,232,216444.4,207,192659.04,932.95,
2023-02,Travel,Direct/Online,North,404,476958.36,285,338625.6,1180.59,
2023-02,Travel,Direct/Online,South,352,234917.76,213,147760.23,667.38,
2023-02,Travel,Direct/Online,West,327,212824.68,249,157123.98,650.84,
2023-02,Travel,PoSP,East,102,262688.76,88,230462.32,2575.38,
2023-02,Travel,PoSP,North,173,236800.67,136,179938.88,1368.79,
2023-02,Travel,PoSP,South,180,265960.8,122,184869.04,1477.56,
2023-02,Travel,PoSP,West,167,479821.06,124,359087.88,2873.18,
2023-03,Crop,Agent,East,18,71691.48,13,52027.17,3982.86,
2023-03,Crop,Agent,North,28,166154.52,20,116166.4,5934.09,
2023-03,Crop,Agent,South,32,132987.2,25,99625.25,4155.85,
2023-03,Crop,Agent,West,27,449072.1,20,348915.4,16632.3,
2023-03,Crop,Bancassurance,East,13,170975.35,9,112578.57,13151.95,
2023-03,Crop,Bancassurance,North,23,403063.73,16,266614.24,17524.51,
2023-03,Crop,Bancassurance,South,19,305195.67,17,279843.8,16062.93,
2023-03,Crop,Bancassurance,West,19,379645.65,13,249988.7,19981.35,
2023-03,Crop,Broker,East,11,120219.88,8,85254.32,10929.08,
2023-03,Crop,Broker,North,20,344685.2,14,250601.12,17234.26,
2023-03,Crop,Broker,South,19,280149.68,14,203672.0,14744.72,
2023-03,Crop,Broker,West,13,72610.2,12,64570.32,5585.4,
2023-03,Crop,Direct/Online,East,12,155422.08,9,112353.66,12951.84,
2023-03,Crop,Direct/Online,North,23,82279.74,16,54835.68,3577.38,
2023-03,Crop,Direct/Online,South,23,457518.53,17,340656.2,19892.11,
2023-03,Crop,Direct/Online,West,21,311273.13,19,283536.05,14822.53,
2023-03,Crop,PoSP,East,7,102815.51,6,88457.52,14687.93,
2023-03,Crop,PoSP,North,11,145483.14,9,123704.19,13225.74,
2023-03,Crop,PoSP,South,9,65257.02,7,49891.52,7250.78,
2023-03,Crop,PoSP,West,11,53410.72,8,37163.68,4855.52,
2023-03,Health (Group),Agent,East,80,3066994.4,66,2637797.58,38337.43,
2023-03,Health (Group),Agent,North,158,8886379.78,109,5850039.81,56242.91,
2023-03,Health (Group),Agent,South,132,7250232.0,95,5387248.6,54926.0,
2023-03,Health (Group),Agent,West,113,2932627.98,89,2403523.32,25952.46,
2023-03,Health (Group),Bancassurance,East,51,2143887.0,36,1460455.92,42037.0,
2023-03,Health (Group),Bancassurance,North,87,4829950.29,78,4206992.4,55516.67,
2023-03,Health (Group),Bancassurance,South,103,5140545.63,82,4141034.44,49908.21,
2023-03,Health (Group),Bancassurance,West,72,4987730.88,49,3386045.53,69274.04,
